Address,Purpose,Description,Evaluate.Green,Evaluate.Red,Expected.Intensity,Control.Type,TargetID,Index
23770483,Normalization T,Normalization T 1,-,+,High,Sample-Dependent,NORM_T,1
25790300,Normalization T,Normalization T 2,-,+,High,Sample-Dependent,NORM_T,2
26704364,Normalization T,Normalization T 3,-,+,High,Sample-Dependent,NORM_T,3
28790326,Normalization T,Normalization T 4,-,+,High,Sample-Dependent,NORM_T,4
29618498,Normalization T,Normalization T 5,-,+,High,Sample-Dependent,NORM_T,5
29774306,Normalization T,Normalization T 6,-,+,High,Sample-Dependent,NORM_T,6
30750303,Normalization T,Normalization T 7,-,+,High,Sample-Dependent,NORM_T,7
31707322,Normalization T,Normalization T 8,-,+,High,Sample-Dependent,NORM_T,8
31736353,Normalization T,Normalization T 9,-,+,High,Sample-Dependent,NORM_T,9
31747339,Normalization T,Normalization T 10,-,+,High,Sample-Dependent,NORM_T,10
31775443,Normalization T,Normalization T 11,-,+,High,Sample-Dependent,NORM_T,11
33644415,Normalization T,Normalization T 12,-,+,High,Sample-Dependent,NORM_T,12
33806355,Normalization T,Normalization T 13,-,+,High,Sample-Dependent,NORM_T,13
34667361,Normalization T,Normalization T 14,-,+,High,Sample-Dependent,NORM_T,14
36621472,Normalization T,Normalization T 15,-,+,High,Sample-Dependent,NORM_T,15
36629493,Normalization T,Normalization T 16,-,+,High,Sample-Dependent,NORM_T,16
36711421,Normalization T,Normalization T 17,-,+,High,Sample-Dependent,NORM_T,17
37766401,Normalization T,Normalization T 18,-,+,High,Sample-Dependent,NORM_T,18
40666333,Normalization T,Normalization T 19,-,+,High,Sample-Dependent,NORM_T,19
42722426,Normalization T,Normalization T 20,-,+,High,Sample-Dependent,NORM_T,20
43724438,Normalization T,Normalization T 21,-,+,High,Sample-Dependent,NORM_T,21
44612371,Normalization T,Normalization T 22,-,+,High,Sample-Dependent,NORM_T,22
10714330,Normalization T,Normalization T 23,-,+,High,Sample-Dependent,NORM_T,23
11641439,Normalization T,Normalization T 24,-,+,High,Sample-Dependent,NORM_T,24
11742370,Normalization T,Normalization T 25,-,+,High,Sample-Dependent,NORM_T,25
11749491,Normalization T,Normalization T 26,-,+,High,Sample-Dependent,NORM_T,26
11758414,Normalization T,Normalization T 27,-,+,High,Sample-Dependent,NORM_T,27
12713402,Normalization T,Normalization T 28,-,+,High,Sample-Dependent,NORM_T,28
13742412,Normalization T,Normalization T 29,-,+,High,Sample-Dependent,NORM_T,29
14656336,Normalization T,Normalization T 30,-,+,High,Sample-Dependent,NORM_T,30
15681421,Normalization T,Normalization T 31,-,+,High,Sample-Dependent,NORM_T,31
15681446,Normalization T,Normalization T 32,-,+,High,Sample-Dependent,NORM_T,32
15754447,Normalization T,Normalization T 33,-,+,High,Sample-Dependent,NORM_T,33
16759387,Normalization T,Normalization T 34,-,+,High,Sample-Dependent,NORM_T,34
19695407,Normalization T,Normalization T 35,-,+,High,Sample-Dependent,NORM_T,35
20651487,Normalization T,Normalization T 36,-,+,High,Sample-Dependent,NORM_T,36
67735372,Normalization T,Normalization T 37,-,+,High,Sample-Dependent,NORM_T,37
68657384,Normalization T,Normalization T 38,-,+,High,Sample-Dependent,NORM_T,38
68705481,Normalization T,Normalization T 39,-,+,High,Sample-Dependent,NORM_T,39
68726417,Normalization T,Normalization T 40,-,+,High,Sample-Dependent,NORM_T,40
69660330,Normalization T,Normalization T 41,-,+,High,Sample-Dependent,NORM_T,41
71678368,Normalization T,Normalization T 42,-,+,High,Sample-Dependent,NORM_T,42
73635489,Normalization T,Normalization T 43,-,+,High,Sample-Dependent,NORM_T,43
55799383,Normalization T,Normalization T 44,-,+,High,Sample-Dependent,NORM_T,44
57713321,Normalization T,Normalization T 45,-,+,High,Sample-Dependent,NORM_T,45
44631336,Normalization T,Normalization T 46,-,+,High,Sample-Dependent,NORM_T,46
45648306,Normalization T,Normalization T 47,-,+,High,Sample-Dependent,NORM_T,47
46610354,Normalization T,Normalization T 48,-,+,High,Sample-Dependent,NORM_T,48
47715450,Normalization T,Normalization T 49,-,+,High,Sample-Dependent,NORM_T,49
49721486,Normalization T,Normalization T 50,-,+,High,Sample-Dependent,NORM_T,50
52668393,Normalization T,Normalization T 51,-,+,High,Sample-Dependent,NORM_T,51
52747473,Normalization T,Normalization T 52,-,+,High,Sample-Dependent,NORM_T,52
54713306,Normalization T,Normalization T 53,-,+,High,Sample-Dependent,NORM_T,53
55662399,Normalization T,Normalization T 54,-,+,High,Sample-Dependent,NORM_T,54
55684415,Normalization T,Normalization T 55,-,+,High,Sample-Dependent,NORM_T,55
55772319,Normalization T,Normalization T 56,-,+,High,Sample-Dependent,NORM_T,56
60810444,Normalization T,Normalization T 57,-,+,High,Sample-Dependent,NORM_T,57
63623369,Normalization T,Normalization T 58,-,+,High,Sample-Dependent,NORM_T,58
58768373,Normalization T,Normalization T 59,-,+,High,Sample-Dependent,NORM_T,59
59792509,Normalization T,Normalization T 60,-,+,High,Sample-Dependent,NORM_T,60
65622344,Normalization T,Normalization T 61,-,+,High,Sample-Dependent,NORM_T,61
